,Folder Name,Start Time,End Time,Classification,Classes,Duration,Peak Acc x,Mean Acc x,Peak Acc y,Mean Acc y,Peak Acc z,Mean Acc z,Peak Gyro x,Mean Gyro x,Peak Gyro y,Mean Gyro y,Peak Gyro z,Mean Gyro z,Peak Mag,Mean Mag,Peak Gyro Mag,Mean Gyro Mag,Peak Speed,Mean Speed,Mag Speed,Peak Acceleration (m/s2),N Mag Peaks,N Gyro Mag Peaks,Age,Height
0,13/10/2020,00:16:09,00:16:11,0,,2,1.613328,-0.025802071,3.347436,0.831503695,2.605188,0.677051695,145.18,2.935736041,226.38,37.05522843,103.46,-32.34675127,4.165147796,1.283393708,268.1593564,112.9935372,1.81666812,1.81666812,0.83611178,0.913996773,1,3,31,186
1,13/10/2020,00:17:10,00:17:11,0,,1.3,2.073024,0.038135549,3.666588,0.701751338,3.313032,0.781275158,180.53,-3.333684211,216.3,-10.26210526,144.76,10.23842105,4.991688608,1.55406413,365.6139469,140.9720147,1.96944602,1.96944602,1.2777788,1.455059216,2,6,31,186
2,13/10/2020,00:17:14,00:17:16,1,7,1.4,2.661552,-0.410439324,2.659356,-0.091994595,5.692032,0.38523973,569.52,1.369256757,685.93,-50.41939189,307.51,-19.03432432,12.30042437,1.63853276,1023.746803,150.7564963,4.08055882,4.08055882,4.07222548,2.321411581,2,1,31,186
3,13/10/2020,00:17:17,00:17:18,1,3,1.3,3.999648,-0.4949418,3.4038,-0.042733114,8.767896,0.393408171,416.99,4.439,310.1,-47.56,183.4,-58.522,14.09753659,1.662372857,628.1464461,137.5462608,3.10278026,3.10278026,2.94166902,2.693506375,2,1,31,186
4,13/10/2020,00:17:44,00:17:46,0,,1.7,1.605276,-0.023641509,4.178256,0.829602789,1.922232,0.62626992,196.7,-8.784,96.95,-39.5844,109.06,22.4664,4.705050134,1.140961193,216.6042973,82.75564193,1.96944602,1.96944602,1.66389022,0.820332997,1,2,31,186
5,13/10/2020,00:17:48,00:17:49,0,,1.5,1.301496,-0.066655059,3.446988,0.768552157,2.586156,0.699098275,158.06,-1.817254902,175.35,-19.27424837,180.67,15.41647059,4.353719397,1.478196798,244.4170064,126.5874269,2.16944618,2.16944618,1.81389034,1.261538565,1,5,31,186
6,13/10/2020,00:17:52,00:17:54,1,7,1.5,2.196,-0.42501809,2.718648,-0.184567897,5.445348,0.345258426,1160.67,-5.402193548,497.35,-62.68251613,360.08,-33.00387097,11.68502232,1.723397373,1564.914743,183.2311753,4.27500342,4.27500342,4.27500342,1.996734862,1,2,31,186
7,13/10/2020,00:17:55,00:17:56,1,3,1.5,2.837232,-0.457863608,6.715368,-0.03178698,9.504288,0.408566039,411.67,8.800784314,621.04,-43.24535948,221.55,-57.89915033,14.27135136,1.591817211,815.6591338,137.6945294,3.39166938,3.39166938,3.03889132,1.961523947,1,3,31,186
8,13/10/2020,00:18:35,00:18:37,1,5,1.6,2.420724,-0.387182534,2.816004,-0.112982609,7.003776,0.550482186,309.05,2.892173913,192.78,-48.72913043,171.22,-19.34391304,12.33455518,1.615995746,1023.138805,163.4870328,4.0694477,4.0694477,4.0694477,1.773900935,1,3,31,186
9,13/10/2020,00:18:37,00:18:38,0,,1.2,1.5921,0.058440976,3.741984,0.412199317,2.389248,0.722489951,152.46,-18.91365854,137.13,-14.16390244,144.62,2.472764228,4.422881687,1.189233421,305.694937,109.6727613,2.41944638,2.41944638,1.16388982,0.970848262,1,1,31,186
10,13/10/2020,00:18:38,00:18:40,0,,1.5,4.784352,-0.510089625,5.358972,0.063867,8.587092,0.400587,663.46,16.65475,622.3,-40.446875,243.53,-30.8931875,12.71522968,1.701478014,1246.695077,139.537586,3.30000264,3.30000264,2.9444468,3.094994973,1,1,31,186
11,13/10/2020,00:19:33,00:19:33,0,,0.8,0.879864,-0.065973628,3.1842,0.988412791,2.835036,0.40694093,120.89,12.18813953,406.98,72.17651163,57.68,-36.02965116,3.508455841,1.362311374,407.0217282,134.425122,1.0000008,1.0000008,0,1.136512616,0,1,31,186
12,13/10/2020,00:19:35,00:19:37,0,,1.6,11.03856,0.494466,3.438936,-0.154257704,4.557432,0.411704815,272.09,-12.16401235,798.91,40.83419753,744.45,24.24679012,11.96345059,1.607228376,929.3279986,152.4003746,4.39722574,4.39722574,4.31389234,1.551921495,2,2,31,186
13,13/10/2020,00:19:38,00:19:39,1,1,1.4,10.308756,0.504635752,4.97028,-0.06825269,8.488272,0.504514593,335.86,11.20048276,1180.97,30.84151724,511.35,50.76641379,12.55274353,1.585127094,1190.659837,147.3726295,3.64722514,3.64722514,3.29722486,1.755069021,2,1,31,186
