name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hamburg, Germany",13/10/2020,13.6,3.6,8.6,13.6,3.6,8.4,6.3,86.2,0.008,100,4.17,rain,0,0,,17,58.4,1016.3,74.6,22.5,68.8,6,5,,2020-10-13T07:44:01,2020-10-13T18:27:23,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Germany",25/01/2021,2,-0.7,0.6,-0.9,-4,-2.3,-0.2,94.7,0.425,100,16.67,"rain,snow",0,0,,12.8,251.9,1002.4,64.2,10.8,15.4,1.1,1,,2021-01-25T08:16:09,2021-01-25T16:49:17,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Germany",04/03/2021,5.8,-0.3,3.3,3.6,-3.2,-0.2,0.6,82.9,0,0,0,,0,0,,22.1,316.1,1019.9,70,24.4,31.7,2.8,2,,2021-03-04T07:00:37,2021-03-04T18:03:46,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Germany",05/03/2021,6.4,-4,0.9,3.4,-6.8,-1.6,-4.6,69.4,0,0,0,,0,0,,16.9,305,1027.5,2.9,38.2,110.6,9.5,5,,2021-03-05T06:58:16,2021-03-05T18:05:40,0.72,Clear,Clear conditions throughout the day.,clear-day,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Germany",06/03/2021,6.4,-2.5,2.4,2.4,-4.7,-0.6,-0.2,83.9,0.237,100,25,"rain,snow",0,0,,24.6,280.3,1030.8,40.2,30.8,38.9,3.4,2,,2021-03-06T06:55:54,2021-03-06T18:07:34,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Germany",07/03/2021,5.3,1,3.5,1.2,-2,-0.4,-0.2,77,1.194,100,25,rain,0,0,,26.6,274.7,1022.5,60.9,31.1,36.7,3,2,,2021-03-07T06:53:32,2021-03-07T18:09:28,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"05280,C3276,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Germany",18/03/2021,5.6,-0.4,2.3,5.4,-3.7,0.3,-0.5,83.3,0.228,100,16.67,rain,0,0,,16.4,321.7,1022.7,66.9,25.2,53.1,4.3,2,,2021-03-18T06:27:04,2021-03-18T18:30:03,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Germany",30/03/2021,20.1,8.4,13.3,20.1,7.3,12.9,6.5,66.4,0,0,0,,0,0,,21.2,253.6,1028.8,26.9,31.3,191.3,16.4,7,,2021-03-30T06:57:52,2021-03-30T19:52:08,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Germany",31/03/2021,23.3,3.6,13.1,23.3,3.6,13,3.5,59.3,0,0,0,,0,0,,16.1,309.2,1022.7,8.6,20.9,176.9,15.1,6,,2021-03-31T06:55:27,2021-03-31T19:53:58,0.59,Clear,Clear conditions throughout the day.,clear-day,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"London, England",01/04/2021,11.4,6.4,9.2,11.4,4.6,8.3,4.4,72.2,0,0,0,,0,0,,25.1,345.5,1020,52.3,27.1,60.3,5.2,3,,2021-04-01T06:53:02,2021-04-01T19:55:47,0.63,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"05280,C7997,C3276,01981,00760,04857,C7204,01975,04039"
"London, England",05/04/2021,6.1,0.6,3.7,1.6,-6.8,-1.6,-0.9,72.9,3.699,100,50,"rain,snow",0,0,,45.8,280.7,1002.1,70.8,19.4,90.1,7.8,6,,2021-04-05T06:43:24,2021-04-05T20:03:07,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"London, England",15/04/2021,9.3,-2.3,4.2,6.9,-2.3,2.9,-2.5,66.4,0,0,0,,0,0,,17.8,7,1030.3,65.7,35.8,155.5,13.3,6,,2021-04-15T06:19:52,2021-04-15T20:21:24,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"05280,C7997,01981,00760,04857,01975,04039"
"London, England",19/04/2021,16.2,5.3,9.7,16.2,3.4,9,5.2,76.8,0.025,100,4.17,rain,0,0,,17.7,59.2,1021.7,55.3,20.4,144.1,12.5,7,,2021-04-19T06:10:45,2021-04-19T20:28:43,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"05280,C7997,C3276,01981,00760,04857,C7204,01975,04039"
"London, England",26/04/2021,10.2,0.3,6.1,10.2,0.3,4.9,-3.5,52.6,0,0,0,,0,0,,19.5,90.4,1021.8,11.9,49.8,165.9,14.3,8,,2021-04-26T05:55:23,2021-04-26T20:41:28,0.48,Clear,Clear conditions throughout the day.,clear-day,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Commerce City, Colorado",03/05/2021,10.4,3.6,6.6,10.4,0,3.9,3.3,79.9,2.437,100,41.67,rain,0,0,,25.2,238,1016.1,68.4,40.3,81.6,7.1,3,,2021-05-03T05:40:57,2021-05-03T20:54:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Commerce City, Colorado",04/05/2021,11.5,5.8,8.4,11.5,2.4,5.1,5,79.1,5.329,100,70.83,rain,0,0,,42.2,202.3,996.5,78.1,29.6,66.7,5.7,4,,2021-05-04T05:38:59,2021-05-04T20:55:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Commerce City, Colorado",09/05/2021,26.2,8.4,18.4,26.2,5,17.9,9.1,58,1.744,100,12.5,rain,0,0,,26.8,151,1005.4,84.9,46,202.2,17.5,8,,2021-05-09T05:29:32,2021-05-09T21:04:36,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"05280,C7997,01981,00760,04857,01975,04039"
